g,lam,delta,GD,kappa,alpha,pO1_mean,slope_WLS_mean,R2_WLS_mean,habit1_mean,habit0_mean,pO1_median,slope_WLS_median,R2_WLS_median,habit1_median,habit0_median
0.25,0.1,0.068,7.5,0.65,7.5,0.081,-2.4181,0.9933,0.058,0.823,0.082,-2.4201,0.9931,0.071,0.795
0.25,0.1,0.097,7.5,0.65,7.5,0.057,-2.097,0.9484,0.04,0.93,0.058,-2.0962,0.9491,0.002,0.972
0.25,0.1,0.126,7.5,0.65,7.5,0.041,-1.6751,0.881,0.291,0.702,0.043,-1.6667,0.8806,0.008,0.983
0.25,0.1,0.155,7.5,0.65,7.5,0.019,-1.3359,0.8065,0.0,0.998,0.018,-1.3233,0.8094,0.0,0.998
0.25,0.1,0.184,7.5,0.65,7.5,0.006,-1.0438,0.7041,0.0,1.0,0.007,-1.0022,0.697,0.0,1.0
0.25,0.1,0.213,7.5,0.65,7.5,0.002,-0.8754,0.6077,0.0,1.0,0.002,-0.8602,0.5864,0.0,1.0
0.25,0.1,0.242,7.5,0.65,7.5,0.001,-0.9872,0.6423,0.0,1.0,0.001,-0.5392,0.5745,0.0,1.0
0.25,0.1,0.271,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,-1.4848,0.5519,0.0,1.0
0.25,0.1,0.3,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,nan,nan,0.0,1.0
0.25,0.125,0.068,7.5,0.65,7.5,0.111,-2.3521,0.998,0.082,0.723,0.11,-2.3562,0.998,0.067,0.761
0.25,0.125,0.097,7.5,0.65,7.5,0.084,-2.1733,0.9816,0.038,0.884,0.084,-2.1706,0.9808,0.029,0.897
0.25,0.125,0.126,7.5,0.65,7.5,0.081,-1.8616,0.9429,0.164,0.809,0.081,-1.8648,0.943,0.207,0.761
0.25,0.125,0.155,7.5,0.65,7.5,0.061,-1.5821,0.8941,0.042,0.953,0.059,-1.5872,0.8937,0.0,0.995
0.25,0.125,0.184,7.5,0.65,7.5,0.035,-1.3222,0.8476,0.087,0.911,0.036,-1.3114,0.8476,0.0,0.998
