gt_g,gt_lambda,gt_delta,distance,fitted_g,fitted_lambda,fitted_delta
0.25,0.1,0.068,0.03828837943815331,0.275,0.1,0.097
0.25,0.1,0.097,0.05780138406647369,0.3,0.1,0.126
0.25,0.1,0.126,0.03828837943815331,0.275,0.1,0.155
0.25,0.1,0.155,0.06315853069855251,0.275,0.1,0.097
0.25,0.1,0.184,1.0,0.25,0.1,0.184
0.25,0.1,0.213,1.0,0.25,0.1,0.213
0.25,0.1,0.242,1.0,0.25,0.1,0.242
0.25,0.1,0.271,1.0,0.25,0.1,0.271
0.25,0.1,0.3,1.0,0.25,0.1,0.3
0.25,0.125,0.068,0.03828837943815329,0.25,0.15,0.097
0.25,0.125,0.097,0.03535533905932738,0.275,0.1,0.097
0.25,0.125,0.126,0.024999999999999994,0.25,0.1,0.126
0.25,0.125,0.155,0.03535533905932738,0.275,0.1,0.155
0.25,0.125,0.184,0.11599999999999999,0.25,0.125,0.3
0.25,0.125,0.213,0.10034440691936944,0.3,0.125,0.3
0.25,0.125,0.242,1.0,0.25,0.125,0.242
0.25,0.125,0.271,1.0,0.25,0.125,0.271
0.25,0.125,0.3,1.0,0.25,0.125,0.3
0.25,0.15,0.068,0.03828837943815329,0.25,0.175,0.097
0.25,0.15,0.097,0.06297618597533514,0.3,0.125,0.126
0.25,0.15,0.126,0.07071067811865474,0.3,0.1,0.126
0.25,0.15,0.155,0.053944415837044686,0.288,0.125,0.184
0.25,0.15,0.184,0.07642643521714196,0.3,0.1,0.155
0.25,0.15,0.213,0.06297618597533515,0.275,0.1,0.184
0.25,0.15,0.242,0.06315853069855251,0.275,0.15,0.3
0.25,0.15,0.271,0.03828837943815327,0.25,0.125,0.3
0.25,0.15,0.3,1.0,0.25,0.15,0.3
0.25,0.175,0.068,0.08893818077743663,0.288,0.25,0.097
0.25,0.175,0.097,0.04572745346069473,0.275,0.2,0.126
0.25,0.175,0.126,0.04999999999999999,0.25,0.125,0.126
0.25,0.175,0.155,0.0946889645101265,0.3,0.1,0.126
0.25,0.175,0.184,0.0948103369891701,0.25,0.1,0.126
0.25,0.175,0.213,0.10718675291284831,0.3,0.1,0.155
0.25,0.175,0.242,0.09805100713404222,0.275,0.1,0.184
0.25,0.175,0.271,0.12098760267068688,0.288,0.1,0.184
0.25,0.175,0.3,0.04548626166217661,0.288,0.15,0.3
0.25,0.2,0.068,0.11622392180614106,0.262,0.3,0.126
0.25,0.2,0.097,0.04012480529547776,0.262,0.225,0.126
0.25,0.2,0.126,0.04780167361086846,0.288,0.2,0.155
0.25,0.2,0.155,0.08893818077743663,0.288,0.125,0.126
0.25,0.2,0.184,0.1259523719506703,0.3,0.1,0.126
0.25,0.2,0.213,0.12168812596141006,0.288,0.1,0.155
0.25,0.2,0.242,0.1325481044753187,0.25,0.1,0.155
0.25,0.2,0.271,0.15518054001710396,0.275,0.1,0.155
0.25,0.2,0.3,0.07642643521714197,0.3,0.15,0.271
0.25,0.225,0.068,0.09556673061269805,0.262,0.3,0.126
0.25,0.225,0.097,0.08130190649671136,0.262,0.3,0.126
0.25,0.225,0.126,0.03828837943815331,0.275,0.225,0.155
0.25,0.225,0.155,0.06280127387243033,0.288,0.175,0.155
0.25,0.225,0.184,0.1522957648787385,0.25,0.1,0.097
0.25,0.225,0.213,0.1602934808406131,0.3,0.1,0.126
0.25,0.225,0.242,0.1602934808406131,0.3,0.1,0.155
0.25,0.225,0.271,0.1709532099727876,0.262,0.1,0.155
0.25,0.225,0.3,0.110837719211467,0.288,0.125,0.271
0.25,0.25,0.068,0.07751128950030439,0.262,0.3,0.126
0.25,0.25,0.097,0.05903388857258175,0.262,0.3,0.126
0.25,0.25,0.126,0.03828837943815331,0.25,0.275,0.155
0.25,0.25,0.155,0.0790569415042095,0.275,0.175,0.155
0.25,0.25,0.184,0.11550324670761425,0.3,0.15,0.155
0.25,0.25,0.213,0.14659126849850232,0.3,0.125,0.155
0.25,0.25,0.242,0.19610201426808446,0.3,0.1,0.126
0.25,0.25,0.271,0.21453437952924936,0.3,0.1,0.126
0.25,0.25,0.3,0.15276779765382495,0.262,0.125,0.213
0.25,0.275,0.068,0.045486261662176605,0.288,0.3,0.068
0.25,0.275,0.097,0.04012480529547774,0.262,0.3,0.126
0.25,0.275,0.126,0.02773084924772407,0.262,0.3,0.126
0.25,0.275,0.155,0.02773084924772412,0.262,0.25,0.155
0.25,0.275,0.184,0.0790569415042095,0.275,0.2,0.184
0.25,0.275,0.213,0.13780058055030103,0.25,0.15,0.155
0.25,0.275,0.242,0.13780058055030103,0.25,0.15,0.184
0.25,0.275,0.271,0.1804688338744394,0.3,0.125,0.184
0.25,0.275,0.3,0.23270152556440193,0.3,0.1,0.155
0.25,0.3,0.068,0.03828837943815327,0.25,0.275,0.097
0.25,0.3,0.097,0.031384709652950434,0.262,0.3,0.126
0.25,0.3,0.126,0.01200000000000001,0.262,0.3,0.126
0.25,0.3,0.155,0.01200000000000001,0.262,0.3,0.155
0.25,0.3,0.184,0.05780138406647369,0.25,0.25,0.213
0.25,0.3,0.213,0.16525132374658907,0.288,0.15,0.155
0.25,0.3,0.242,0.1283199127181748,0.25,0.175,0.213
0.25,0.3,0.271,0.2102974084481309,0.262,0.125,0.155
0.25,0.3,0.3,0.21582631906234231,0.3,0.125,0.184
0.262,0.1,0.068,0.04780167361086846,0.3,0.1,0.097
0.262,0.1,0.097,0.04780167361086846,0.3,0.1,0.126
0.262,0.1,0.126,0.09418067742376882,0.288,0.125,0.213
0.262,0.1,0.155,0.15196710170296726,0.3,0.125,0.3
0.262,0.1,0.184,1.0,0.262,0.1,0.184
0.262,0.1,0.213,1.0,0.262,0.1,0.213
0.262,0.1,0.242,1.0,0.262,0.1,0.242
0.262,0.1,0.271,0.08041144197189848,0.262,0.175,0.3
0.262,0.1,0.3,1.0,0.262,0.1,0.3
0.262,0.125,0.068,0.03178049716414141,0.275,0.125,0.097
0.262,0.125,0.097,0.028178005607210743,0.275,0.1,0.097
0.262,0.125,0.126,0.04548626166217661,0.3,0.1,0.126
0.262,0.125,0.155,0.04548626166217661,0.3,0.1,0.155
0.262,0.125,0.184,0.09817331613019904,0.3,0.1,0.271
0.262,0.125,0.213,0.06830080526611675,0.288,0.1,0.271
0.262,0.125,0.242,1.0,0.262,0.125,0.242
0.262,0.125,0.271,1.0,0.262,0.125,0.271
0.262,0.125,0.3,1.0,0.262,0.125,0.3
0.262,0.15,0.068,0.053944415837044686,0.3,0.175,0.097
0.262,0.15,0.097,0.03606937759374284,0.288,0.125,0.097
0.262,0.15,0.126,0.03606937759374284,0.288,0.125,0.126
0.262,0.15,0.155,0.05903388857258175,0.25,0.1,0.126
0.262,0.15,0.184,0.10365809182114052,0.288,0.1,0.271
0.262,0.15,0.213,0.08548684109265002,0.3,0.1,0.155
0.262,0.15,0.242,0.06337980750996328,0.288,0.1,0.271
0.262,0.15,0.271,1.0,0.262,0.15,0.271
0.262,0.15,0.3,1.0,0.262,0.15,0.3
